date,route,path,value
2026-07-10,mercado_exterior,base.desaguadero_chicago.aceite,-440.46
2026-07-10,mercado_exterior,base.desaguadero_chicago.harina_solvente,-11.21
2026-07-10,mercado_exterior,base.desaguadero_chicago.soya_grano,-29.1
2026-07-10,mercado_exterior,base.rosario_chicago.aceite,-405.27
2026-07-10,mercado_exterior,base.rosario_chicago.harina_solvente,-10.85
2026-07-10,mercado_exterior,base.rosario_chicago.soya_grano,9.36
2026-07-10,mercado_exterior,precios.chicago.aceite,1561.98
2026-07-10,mercado_exterior,precios.chicago.harina_solvente,344.25
2026-07-10,mercado_exterior,precios.chicago.soya_grano,438.1
2026-07-10,mercado_exterior,precios.desaguadero.aceite,1121.51
2026-07-10,mercado_exterior,precios.desaguadero.harina_solvente,333.04
2026-07-10,mercado_exterior,precios.desaguadero.soya_grano,409.0
2026-07-10,mercado_exterior,precios.rosario.aceite,1156.7
2026-07-10,mercado_exterior,precios.rosario.harina_solvente,333.4
2026-07-10,mercado_exterior,precios.rosario.soya_grano,447.46
2026-07-10,venta_soja_lima,costo_exp.aceite,50.0
2026-07-10,venta_soja_lima,costo_exp.grano,50.0
2026-07-10,venta_soja_lima,costo_exp.solvente,50.0
2026-07-10,venta_soja_lima,costo_g_industrial,362.68
2026-07-10,venta_soja_lima,costo_total_transporte.aceite,0.0
2026-07-10,venta_soja_lima,costo_total_transporte.grano,0.0
2026-07-10,venta_soja_lima,costo_total_transporte.solvente,0.0
2026-07-10,venta_soja_lima,fca_scz_montero.aceite,1071.51
2026-07-10,venta_soja_lima,fca_scz_montero.grano,359.0
2026-07-10,venta_soja_lima,fca_scz_montero.solvente,283.04
2026-07-10,venta_soja_lima,fob_desaguadero.aceite,1121.51
2026-07-10,venta_soja_lima,fob_desaguadero.grano,409.0
2026-07-10,venta_soja_lima,fob_desaguadero.solvente,333.04
2026-07-10,venta_soja_rosario,costo_exp.aceite,60.91
2026-07-10,venta_soja_rosario,costo_exp.grano,46.85
2026-07-10,venta_soja_rosario,costo_exp.solvente,46.85
2026-07-10,venta_soja_rosario,costo_g_industrial,285.99
2026-07-10,venta_soja_rosario,costo_total_transporte.aceite,108.87
2026-07-10,venta_soja_rosario,costo_total_transporte.grano,106.34
2026-07-10,venta_soja_rosario,costo_total_transporte.solvente,86.0
2026-07-10,venta_soja_rosario,fca_scz_montero.aceite,986.92
2026-07-10,venta_soja_rosario,fca_scz_montero.grano,294.27
2026-07-10,venta_soja_rosario,fca_scz_montero.solvente,200.55
2026-07-10,venta_soja_rosario,fob_pto_aguirre.aceite,1047.83
2026-07-10,venta_soja_rosario,fob_pto_aguirre.grano,341.12
2026-07-10,venta_soja_rosario,fob_pto_aguirre.solvente,247.4
2026-07-11,mercado_exterior,base.desaguadero_chicago.aceite,-440.46
2026-07-11,mercado_exterior,base.desaguadero_chicago.harina_solvente,-11.21
2026-07-11,mercado_exterior,base.desaguadero_chicago.soya_grano,-29.1
2026-07-11,mercado_exterior,base.rosario_chicago.aceite,-405.27
2026-07-11,mercado_exterior,base.rosario_chicago.harina_solvente,-10.85
2026-07-11,mercado_exterior,base.rosario_chicago.soya_grano,9.36
2026-07-11,mercado_exterior,precios.chicago.aceite,1561.98
2026-07-11,mercado_exterior,precios.chicago.harina_solvente,344.25
2026-07-11,mercado_exterior,precios.chicago.soya_grano,438.1
2026-07-11,mercado_exterior,precios.desaguadero.aceite,1121.51
2026-07-11,mercado_exterior,precios.desaguadero.harina_solvente,333.04
2026-07-11,mercado_exterior,precios.desaguadero.soya_grano,409.0
2026-07-11,mercado_exterior,precios.rosario.aceite,1156.7
2026-07-11,mercado_exterior,precios.rosario.harina_solvente,333.4
2026-07-11,mercado_exterior,precios.rosario.soya_grano,447.46
2026-07-11,venta_soja_lima,costo_exp.aceite,50.0
2026-07-11,venta_soja_lima,costo_exp.grano,50.0
2026-07-11,venta_soja_lima,costo_exp.solvente,50.0
2026-07-11,venta_soja_lima,costo_g_industrial,362.68
2026-07-11,venta_soja_lima,costo_total_transporte.aceite,0.0
2026-07-11,venta_soja_lima,costo_total_transporte.grano,0.0
2026-07-11,venta_soja_lima,costo_total_transporte.solvente,0.0
2026-07-11,venta_soja_lima,fca_scz_montero.aceite,1071.51
2026-07-11,venta_soja_lima,fca_scz_montero.grano,359.0
2026-07-11,venta_soja_lima,fca_scz_montero.solvente,283.04
2026-07-11,venta_soja_lima,fob_desaguadero.aceite,1121.51
2026-07-11,venta_soja_lima,fob_desaguadero.grano,409.0
2026-07-11,venta_soja_lima,fob_desaguadero.solvente,333.04
2026-07-11,venta_soja_rosario,costo_exp.aceite,60.91
2026-07-11,venta_soja_rosario,costo_exp.grano,46.85
2026-07-11,venta_soja_rosario,costo_exp.solvente,46.85
2026-07-11,venta_soja_rosario,costo_g_industrial,285.99
2026-07-11,venta_soja_rosario,costo_total_transporte.aceite,108.87
2026-07-11,venta_soja_rosario,costo_total_transporte.grano,106.34
2026-07-11,venta_soja_rosario,costo_total_transporte.solvente,86.0
2026-07-11,venta_soja_rosario,fca_scz_montero.aceite,986.92
2026-07-11,venta_soja_rosario,fca_scz_montero.grano,294.27
2026-07-11,venta_soja_rosario,fca_scz_montero.solvente,200.55
2026-07-11,venta_soja_rosario,fob_pto_aguirre.aceite,1047.83
2026-07-11,venta_soja_rosario,fob_pto_aguirre.grano,341.12
2026-07-11,venta_soja_rosario,fob_pto_aguirre.solvente,247.4
2026-07-12,mercado_exterior,base.desaguadero_chicago.aceite,-440.46
2026-07-12,mercado_exterior,base.desaguadero_chicago.harina_solvente,-11.21
2026-07-12,mercado_exterior,base.desaguadero_chicago.soya_grano,-29.1
2026-07-12,mercado_exterior,base.rosario_chicago.aceite,-405.27
2026-07-12,mercado_exterior,base.rosario_chicago.harina_solvente,-10.85
2026-07-12,mercado_exterior,base.rosario_chicago.soya_grano,9.36
2026-07-12,mercado_exterior,precios.chicago.aceite,1561.98
2026-07-12,mercado_exterior,precios.chicago.harina_solvente,344.25
2026-07-12,mercado_exterior,precios.chicago.soya_grano,438.1
2026-07-12,mercado_exterior,precios.desaguadero.aceite,1121.51
2026-07-12,mercado_exterior,precios.desaguadero.harina_solvente,333.04
2026-07-12,mercado_exterior,precios.desaguadero.soya_grano,409.0
2026-07-12,mercado_exterior,precios.rosario.aceite,1156.7
2026-07-12,mercado_exterior,precios.rosario.harina_solvente,333.4
2026-07-12,mercado_exterior,precios.rosario.soya_grano,447.46
2026-07-12,venta_soja_lima,costo_exp.aceite,50.0
2026-07-12,venta_soja_lima,costo_exp.grano,50.0
2026-07-12,venta_soja_lima,costo_exp.solvente,50.0
